Item,Frequency,Pronunciation
submerge,0.39,S AH B M AH R JH
submission,1.08,S AH B M IH SH AH N
submissive,0.88,S AH B M IH S IH V
submit,5.53,S AH B M IH T
submitting,0.41,S AH B M IH T IH NG
subnormal,0.04,S AH B N AO R M AH L
subordinate,0.61,S AH B AO R D AH N AH T
subparagraph,0.08,S AH B P AE R AH G R AE F
subpoena,2.22,S AH P IY N AH
subroutine,0.1,S AH B R UW T IY N
subscribe,0.86,S AH B S K R AY B
subscriber,0.41,S AH B S K R AY B AH R
subscription,1.33,S AH B S K R IH P SH AH N
subsection,0.35,S AH B S EH K SH AH N
subsequent,1.25,S AH B S IH K W AH N T
subservience,0.14,S AH B S AH R V IY AH N S
subservient,0.47,S AH B S AH R V IY AH N T
subside,0.39,S AH B S AY D
subsidiary,0.45,S AH B S IH D IY EH R IY
subsidize,0.31,S AH B S AH D AY Z
subsidy,0.1,S AH B S IH D IY
subsist,0.06,S AH B S IH S T
subsistence,0.06,S AH B S IH S T AH N S
subsoil,0.06,S AH B S OY L
subspace,0.53,S AH B S P EY S
subspecies,0.35,S AH B S P IY SH IY Z
substance,7.14,S AH B S T IH N S
substantial,3.57,S AH B S T AE N CH AH L
substantially,0.63,S AH B S T AE N SH AH L L IY
substantiate,0.39,S AH B S T AE N CH IY EY T
substantiation,0.1,S AH B S T AE N SH IY EY SH AH N
substantive,0.24,S AH B S T IH N T IH V
substitute,4.67,S AH B S T IH T UW T
substitution,0.41,S AH B S T IH T UW SH IH N
substrate,0.04,S AH B S T R EY T
substructure,0.14,S AH B S T R AH K CH AH R
subsurface,0.08,S AH B S AH R F AH S
subsystem,0.12,S AH B S IH S T AH M
subterfuge,0.37,S AH B T AH R F Y UW JH
subtitle,1.02,S AH B T AY T AH L
subtle,6.94,S AH T AH L
subtler,0.18,S AH T L AH R
subtlety,0.78,S AH T AH L T IY
subtly,0.43,S AH T L IY
subtract,0.55,S AH B T R AE K T
subtraction,0.2,S AH B T R AE K SH AH N
subtype,0.04,S AH B T AY P
suburb,0.59,S AH B AH R B
suburban,2.29,S AH B AH R B IH N
suburbanite,0.14,S AH B AH R B IH N AY T
suburbia,0.75,S AH B AH R B IY AH
subversion,0.18,S AH B V AH R ZH AH N
subversive,1.06,S AH B V AH R S IH V
subvert,0.33,S AH B V AH R T
subway,10.71,S AH B W EY
succeed,9.45,S AH K S IY D
succeeding,0.69,S AH K S IY D IH NG
success,27.25,S AH K S EH S
successful,20.33,S AH K S EH S F AH L
succession,0.94,S AH K S EH SH AH N
successive,0.16,S AH K S EH S IH V
successor,1.67,S AH K S EH S AH R
succinct,0.24,S AH K S IH NG K T
succor,0.2,S AH K AH R
succumb,0.37,S AH K AH M
such,291.22,S AH CH
suck,34.88,S AH K
sucker,16.35,S AH K AH R
suction,5.63,S AH K SH IH N
sudden,33.47,S AH D AH N
suddenness,0.18,S AH D AH N N AH S
suds,0.47,S AH D Z
sue,29.37,S UW
suey,0.45,S UW IY
suffer,22.51,S AH F AH R
sufferer,0.08,S AH F AH R AH R
suffering,19.43,S AH F R IH NG
suffice,1.65,S AH F AY S
sufficiency,0.08,S AH F IH SH IH N S IY
sufficient,4.76,S AH F IH SH AH N T
sufficiently,1.39,S AH F IH SH AH N T L IY
suffix,0.04,S AH F IH K S
suffocate,1.51,S AH F AH K EY T
suffocating,1.47,S AH F AH K EY T IH NG
suffocation,0.75,S AH F AH K EY SH IH N
suffrage,0.1,S AH F R IH JH
suffragette,0.16,S AH F R IH JH EH T
sugar,37.76,SH UH G AH R
suggest,39.24,S AH G JH EH S T
suggested,10.29,S AH G JH EH S T IH D
suggestibility,0.04,S AH G JH EH S T AH B IH L AH T IY
suggestion,12.2,S AH G JH EH S CH AH N
suggestive,0.51,S AH G JH EH S T IH V
suicide,34.25,S UW AH S AY D
suit,68.61,S UW T
suitability,0.1,S UW T AH B IH L IH T IY
suitable,4.84,S UW T AH B AH L
suitably,0.25,S UW T AH B L IY
suitcase,13.39,S UW T K EY S
suite,16.65,S W IY T
suitor,1.35,S UW T AH R
sulfide,0.18,S AH L F AY D
sulk,0.75,S AH L K
sulky,0.2,S AH L K IY
sullen,0.57,S AH L AH N
sully,3.76,S AH L IY
sulphur,0.84,S AH L F AH R
sultan,3.22,S AH L T AH N
sultry,0.27,S AH L T R IY
sum,10.25,S AH M
sumac,0.08,SH UW M AE K
summarize,0.39,S AH M AH R AY Z
summary,1.67,S AH M AH R IY
summation,0.65,S AH M EY SH IH N
summer,78.67,S AH M AH R
summertime,1.2,S AH M AH R T AY M
summit,3.33,S AH M AH T
summon,3.86,S AH M AH N
summons,1.59,S AH M AH N Z
sumptuous,0.31,S AH M P CH UW AH S
sun,69.67,S AH N
sunbaked,0.08,S AH N B EY K T
sunburn,0.65,S AH N B AH R N
sunder,0.04,S AH N D AH R
sundial,0.45,S AH N D AY AH L
sundown,3.41,S AH N D AW N
sundry,0.25,S AH N D R IY
sunken,0.9,S AH NG K IH N
sunlight,4.63,S AH N L AY T
sunny,7.67,S AH N IY
sunrise,6.06,S AH N R AY Z
sunset,10.31,S AH N S EH T
sunshine,11.84,S AH N SH AY N
sunshiny,0.22,S AH N SH AY N IY
sunspot,0.25,S AH N S P AA T
suntan,0.98,S AH N T AE N
sup,0.92,S AH P
super,26.2,S UW P AH R
superb,2.88,S UH P AH R B
superbly,0.22,S UH P AH R B L IY
supercilious,0.14,S UW P AH R S IH L IY AH S
supercritical,0.04,S UW P AH R K R IH T IH K AH L
superego,0.08,S UW P AH R IY G OW
superficial,2.9,S UW P AH R F IH SH AH L
superfluous,0.45,S UH P AH R F L UW AH S
superhighway,0.1,S UW P AH R HH AY W EY
superhuman,0.8,S UW P AH R HH Y UW M AH N
superimpose,0.22,S UW P AH R IH M P OW Z
superintendent,4.29,S UW P AH R IH N T EH N N D EH N T
superior,13,S AH P IH R IY AH R
superiority,1.31,S AH P IH R IY AO R IH T IY
superlative,0.1,S UH P AH R L IH T IH V
supermarket,5,S UW P AH R M AA R K IH T
supernatural,4.41,S UW P AH R N AE CH AH R AH L
supernormal,0.02,S UW P AH R N AO R M AH L
superposition,0.45,S UW P AH R P AH Z IH SH AH N
supersede,0.16,S UW P AH R S IY D
supersensitive,0.04,S UW P AH R S EH N S IH T IH V
supersonic,0.39,S UW P AH R S AA N IH K
superstition,2.06,S UW P AH R S T IH SH AH N
superstitious,3.43,S UW P AH R S T IH SH AH S
superstructure,0.27,S UW P AH R S T R AH K CH AH R
supervise,1.92,S UW P AH R V AY Z
supervision,2.47,S UW P AH R V IH ZH IH N
supervisor,5.96,S UW P AH R V AY Z AH R
supervisory,0.31,S UW P AH R V AY Z AH R IY
supine,0.08,S UH P AY N
supper,19.37,S AH P AH R
supplant,0.06,S AH P L AE N T
supplement,1.14,S AH P L AH M AH N T
supplemental,0.59,S AH P L AH M EH N T AH L
supplementary,0.25,S AH P L AH M EH N T AH R IY
supplicate,0.06,S AH P L AH K EY T
supplier,1.94,S AH P L AY AH R
supply,18.67,S AH P L AY
support,50.73,S AH P OW R T
supporter,0.73,S AH P OW R T AH R
supportive,4.65,S AH P AO R T IH V
suppose,125.8,S AH P OW Z
supposing,3.49,S AH P OW Z IH NG
supposition,0.31,S AH P AH Z IH SH IH N
suppress,1.49,S AH P R EH S
suppression,0.49,S AH P R EH SH AH N
supremacy,0.57,S UH P R EH M AH S IY
supreme,8.76,S AH P R IY M
supremely,0.39,S UW P R IY M AH L IY
sur,0.59,S AH R
surcease,0.1,S AH R S IY S
sure,1099.82,SH UH R
surely,27.59,SH UH R L IY
surf,6.35,S AH R F
surface,18.24,S AH R F AH S
surfactant,0.06,S AH R F AE K T AH N T
surfeit,0.08,S AH R F AH T
surge,1.84,S AH R JH
surgeon,16.43,S AH R JH IH N
surgery,32.37,S AH R JH AH R IY
surgical,8.02,S AH R JH IH K AH L
surly,0.71,S AH R L IY
surmise,0.35,S AH R M AY Z
surmount,0.1,S AH R M AW N T
surname,0.94,S AH R N EY M
surpass,0.35,S AH R P AE S
surplus,2.04,S AH R P L AH S
surprise,88.9,S AH R P R AY Z
surprising,6.02,S AH P R AY Z IH NG
surprisingly,3.18,S AH P R AY Z IH NG L IY
surrealism,0.27,S AH R IY AH L IH Z AH M
surrender,15.47,S AH R EH N D AH R
surreptitious,0.14,S AH R AH P T IH SH IH S
surround,3.06,S AH R AW N D
surrounding,3.76,S AH R AW N D IH NG
surtout,0.04,S AH R T UW
surveillance,18.67,S AH R V EY L IH N S
survey,4.45,S AH R V EY
surveyor,0.25,S AH R V EY AH R
survivability,0.06,S AH R V AY V AH B IH L IH T IY
survival,10.1,S AH R V AY V AH L
survivalist,0.1,S AH R V AY V AH L IH S T
survive,30.14,S AH R V AY V
survivor,4.33,S AH R V AY V AH R
susceptibility,0.1,S AH S EH P T AH B IH L AH T IY
susceptible,1.27,S IH S EH P T AH B AH L
sushi,4.35,S UW SH IY
suspect,44.2,S IH S P EH K T
suspend,2.76,S IH S P EH N D
suspender,0.04,S AH S P EH N D AH R
suspense,2.24,S IH S P EH N S
suspension,4.35,S AH S P EH N SH AH N
suspensor,0.02,S AH S P EH N S AH R
suspicion,7.31,S IH S P IH SH IH N
suspicious,15.98,S AH S P IH SH AH S
sustain,2.67,S IH S T EY N
sustenance,0.57,S AH S T IH N IH N S
svelte,0.1,S V EH L T
swab,2.37,S W AA B
swagger,0.24,S W AE G AH R
swallow,12.73,S W AA L OW
swami,0.73,S W AA M IY
swamp,8.98,S W AA M P
swampy,0.2,S W AA M P IY
swan,6.82,S W AA N
swank,0.47,S W AE NG K
swanky,0.25,S W AE NG K IY
swap,3.63,S W AA P
swarm,1.33,S W AO R M
swarthy,0.39,S W AO R DH IY
swastika,0.55,S W AA S T IH K AH
swatch,0.35,S W AA CH
swath,0.22,S W AA TH
sway,2.53,S W EY
swear,88.16,S W AE R
swearing,2.43,S W EH R IH NG
sweat,21.86,S W EH T
sweatband,0.08,S W EH T B AE N D
sweater,13.8,S W EH T AH R
sweatshirt,2.35,S W EH T SH AH R T
sweaty,4.43,S W EH T IY
sweep,9.51,S W IY P
sweeping,3.33,S W IY P IH NG
sweepstake,0.24,S W IY P S T EY K
sweet,145.2,S W IY T
sweeter,2.61,S W IY T AH R
sweetest,5.78,S W IY T AH S T
sweetheart,64.16,S W IY T HH AA R T
sweetness,3.27,S W IY T N AH S
swell,20.8,S W EH L
swelling,3.16,S W EH L IH NG
swelter,0.04,S W EH L T AH R
swerve,0.67,S W AH R V
swift,3.86,S W IH F T
swiftest,0.18,S W IH F T AH S T
swiftness,0.08,S W IH F T N AH S
swig,0.94,S W IH G
swim,31.8,S W IH M
swimmer,3.73,S W IH M AH R
swimsuit,1.98,S W IH M S UW T
swindle,0.71,S W IH N D AH L
swine,4.43,S W AY N
swing,25.98,S W IH NG
swipe,1.61,S W AY P
swirl,0.9,S W AH R L
swish,1.61,S W IH SH
switch,28.12,S W IH CH
switchblade,0.43,S W IH CH B L EY D
switchboard,1.14,S W IH CH B OW R D
switching,3.8,S W IH CH IH NG
swivel,0.71,S W IH V AH L
swollen,3.24,S W OW L IH N
swoop,1.53,S W UW P
sword,26.18,S OW R D
sycophant,0.14,S IH K AH F AH N T
sycophantic,0.04,S IH K AH F AE N T IH K
syllable,0.82,S IH L AH B AH L
sylvan,0.1,S IH L V AH N
symbol,8.59,S IH M B AH L
symbolic,1.55,S IH M B AA L IH K
symbolism,0.73,S IH M B AH L IH Z AH M
symbolize,0.41,S IH M B AH L AY Z
symmetric,0.1,S AH M EH T R IH K
symmetrical,0.59,S AH M EH T R IH K AH L
symmetry,0.8,S IH M AH T R IY
sympathetic,3.8,S IH M P AH TH EH T IH K
sympathize,1.55,S IH M P AH TH AY Z
sympathy,8.35,S IH M P AH TH IY
symphonic,0.43,S IH M F AA N IH K
symphony,3.55,S IH M F AH N IY
symposium,0.69,S IH M P OW Z IY AH M
symptom,1.88,S IH M P T AH M
symptomatic,0.57,S IH M T AH M AE T IH K
synagogue,0.96,S IH N IH G AA G
synapse,0.73,S IH AE P S
synchronize,0.67,S IH NG K R AH N AY Z
synchronous,0.02,S IH NG K R AH N AH S
syndicate,2,S IH N D IH K AH T
syndication,0.29,S IH N D AH K EY SH IH N
syndrome,6.27,S IH N D R OW M
synergistic,0.04,S IH N AH R JH IH S T IH K
synod,0.02,S IH N IH D
synonym,0.18,S IH N IH N IH M
synonymous,0.55,S AH N AA N AH M AH S
syntax,0.35,S IH N T AE K S
synthesis,0.29,S IH N TH IH S IH S
synthesize,0.22,S IH N TH IH S AY Z
synthetic,2.51,S AH N TH EH T IH K
syringe,1.94,S AH R IH N JH
syrup,5.1,S AH R AH P
syrupy,0.04,S IH R AH P IY
system,91.51,S IH S T AH M
systematic,0.59,S IH S T AH M AE T IH K
systematically,0.65,S IH S T AH M AE T IH K L IY
systemic,0.22,S IH S T EH M IH K
tab,5.76,T AE B
tabernacle,0.71,T AE B AH R N AE K AH L
table,105.63,T EY B AH L
tableau,0.16,T AE B L OW
tablecloth,0.94,T EY B AH L K L AO TH
tablespoon,0.18,T EY B AH L S P UW N
tablespoonful,0.02,T EY B AH L S P UW N F UH L
tablet,1.49,T AE B L IH T
tabloid,1.1,T AE B L OY D
taboo,1.22,T AE B UW
tabulate,0.02,T AE B Y AH L EY T
tabulation,0.06,T AE B Y UH L EY SH IH N
tacit,0.14,T AE S IH T
tack,2.12,T AE K
tackle,4.29,T AE K AH L
tact,1.1,T AE K T
tactful,0.57,T AE K T F AH L
tactic,1.55,T AE K T IH K
tactical,5.51,T AE K T IH K AH L
tactile,0.35,T AE K T AH L
tadpole,0.59,T AE D P OW L
taffeta,0.37,T AE F AH T AH
taffy,2.39,T AE F IY
tag,13.88,T AE G
tail,23.9,T EY L
tailback,0.18,T EY L B AE K
tailgate,0.45,T EY L G EY T
tailing,1.59,T EY L IH NG
tailor,4.18,T EY L AH R
taint,0.78,T EY N T
take,1891.04,T EY K
takeoff,2.45,T EY K AO F
takeover,1.57,T EY K OW V AH R
taking,240.45,T EY K IH NG
tale,12,T EY L
talent,26.12,T AE L IH N T
talented,11.39,T AE L AH N T IH D
talk,855,T AO K
talkative,0.9,T AO K IH T IH V
talker,1.78,T AO K AH R
talking,497.75,T AO K IH NG
talky,0.35,T AO K IY
tall,32.33,T AO L
taller,5.57,T AO L AH R
tallow,0.1,T AE L OW
tally,3.49,T AE L IY
tallyho,0.43,T AE L IY HH OW
talon,1.1,T AE L IH N
tamale,0.24,T AH M AA L IY
tambourine,0.88,T AE M B AH R IY N
tame,2.73,T EY M
tamp,0.06,T AE M P
tamper,0.49,T AE M P AH R
tan,8.61,T AE N
tandem,0.35,T AE N D AH M
tang,2.24,T AE NG
tangent,0.37,T AE N JH IH N T
tangential,0.04,T AE N JH EH N CH AH L
tangible,1.1,T AE N JH IH B AH L
tangle,1.04,T AE NG G AH L
tango,5.37,T AE NG G OW
tangy,0.33,T AE NG IY
tank,25.61,T AE NG K
tanker,1.96,T AE NG K AH R
tansy,0.2,T AE N Z IY
tantalize,0.08,T AE N T AH L AY Z
tantamount,0.33,T AE N T AH M AW N T
tantrum,0.88,T AE N T R AH M
tap,14.75,T AE P
tape,68.84,T EY P
taper,0.18,T EY P AH R
tapestry,0.71,T AE P AH S T R IY
tapping,3.22,T AE P IH NG
tar,3.14,T AA R
tardiness,0.43,T AA R D IY N AH S
tardy,1.14,T AA R D IY
target,37.96,T AA R G IH T
tariff,0.14,T AE R AH F
tarnish,0.37,T AA R N IH SH
tarpaulin,0.1,T AA R P AO L IH N
tarpon,0.18,T AA R P AH N
tarry,0.45,T AE R IY
tart,2.39,T AA R T
task,12.73,T AE S K
taskmaster,0.16,T AE S K M AE S T AH R
tassel,0.53,T AE S AH L
taste,51.31,T EY S T
tasteful,1.35,T EY S T F AH L
tasteless,0.88,T EY S T L IH S
tasty,6.31,T EY S T IY
tat,1.08,T AE T
tattoo,11.96,T AE T UW
taunt,0.63,T AO N T
taut,0.69,T AO T
tavern,3.1,T AE V AH R N
tawdry,0.59,T AO D R IY
tawny,0.65,T AO N IY
tax,14.55,T AE K S
taxable,0.08,T AE K S AH B AH L
taxation,0.29,T AE K S EY SH IH N
taxi,25.84,T AE K S IY
taxicab,0.86,T AE K S IY K AE B
taxpayer,0.57,T AE K S P EY AH R
taxpaying,0.02,T AE K S P EY IH NG
tea,58.63,T IY
teach,72.84,T IY CH
teacher,55.73,T IY CH AH R
teaching,19.8,T IY CH IH NG
teahouse,0.82,T IY HH AW S
teakettle,0.14,T IY K EH T AH L
teakwood,0.02,T IY K W UH D
team,147.61,T IY M
teammate,0.9,T IY M M EY T
teamster,0.24,T IY M S T AH R
teamwork,2,T IY M W AH R K
tear,27,T EH R
teardrop,0.27,T IY R D R AA P
tease,5.69,T IY Z
teasing,4.22,T IY Z IH NG
teaspoon,0.47,T IY S P UW N
teaspoonful,0.12,T IY S P UW N F AH L
teat,0.31,T IH T
technical,8.24,T EH K N IH K AH L
technicality,1.2,T EH K N AH K AE L IH T IY
technician,2.59,T EH K N IH SH IH N
technique,8.94,T EH K N IY K
technological,0.78,T EH K N AH L AA JH IH K AH L
technology,14.94,T EH K N AA L AH JH IY
teddy,15.9,T EH D IY
tedious,1.43,T IY D IY AH S
tedium,0.25,T IY D IY AH M
tee,2.16,T IY
teem,0.04,T IY M
teen,4.1,T IY N
teenage,6.86,T IY N EY JH
teenager,6.88,T IY N EY JH AH R
teensy,0.47,T IY N S IY
teeter,0.1,T IY T AH R
teethe,0.02,T IY DH
teetotaler,0.14,T IY T OW T AH L AH R
telegram,9.24,T EH L AH G R AE M
telegraph,3.27,T EH L AH G R AE F
telegrapher,0.06,T AH L EH G R AH F AH R
telegraphic,0.02,T EH L AH G R AE F IH K
telegraphy,0.1,T AH L EH G R AH F IY
telepathy,0.92,T AH L EH P AH TH IY
telephone,32.37,T EH L AH F OW N
telephoning,0.43,T EH L AH F OW N IH NG
telescope,2.94,T EH L IH S K OW P
telescopic,0.24,T EH L IH S K AA P IH K
teletype,0.65,T EH L AH T AY P
televise,0.02,T EH L AH V AY Z
television,33.9,T EH L AH V IH ZH IH N
tell,1724.49,T EH L
teller,2.57,T EH L AH R
telling,190.78,T EH L IH NG
temerity,0.22,T AH M EH R AH T IY
temper,11.41,T EH M P AH R
tempera,0.04,T EH M P AH R AH
temperament,1.16,T EH M P AH R M AH N T
temperance,0.78,T EH M P AH R AH N S
temperate,0.24,T EH M P AH R IH T
temperature,13.76,T EH M P R AH CH UH R
tempest,0.71,T EH M P AH S T
template,0.41,T EH M P L EY T
temple,17.55,T EH M P AH L
tempo,1.69,T EH M P OW
temporal,1.35,T EH M P AH R AH L
temporary,13.04,T EH M P AH R EH R IY
tempore,0.02,T EH M P AO R IY
temporize,0.02,T EH M P AH R AY Z
tempt,2.53,T EH M P T
temptation,4.24,T EH M P T EY SH IH N
ten,145,T EH N
tenable,0.06,T EH N AH B AH L
tenacious,0.49,T IH N EY SH IH S
tenacity,0.27,T IH N AE S IH T IY
tenancy,0.04,T EH N IH N S IY
tenant,3.04,T EH N IH N T
tend,12.27,T EH N D
tendency,2.71,T EH N D IH N S IY
tender,8.88,T EH N D AH R
tenderfoot,0.49,T EH N D AH R F UH T
tenderly,0.82,T EH N D AH R L IY
tenderness,2.53,T EH N D AH R N AH S
tending,1.08,T EH N D IH NG
tendon,0.57,T EH N D IH N
tenement,0.69,T EH N AH M AH N T
tenet,0.12,T EH N IH T
tennis,13.63,T EH N IH S
tenor,1.55,T EH N AH R
tense,10.24,T EH N S
tensile,0.12,T EH N S AH L
tension,8.55,T EH N CH IH N
tent,17.49,T EH N T
tentacle,0.25,T EH N T IH K AH L
tentative,0.49,T EH N T IH T IH V
tenth,4.16,T EH N TH
tenuous,0.33,T EH N Y UW IH S
tenure,1.76,T EH N Y AH R
tepee,0.53,T IY P IY
tepid,0.24,T EH P IH D
term,17.45,T AH R M
terminal,7.65,T AH R M IH N AH L
terminate,2.75,T AH R M AH N EY T
termination,1.33,T AH R M AH N EY SH IH N
terminology,0.47,T AH R M AH N AA L AH JH IY
terminus,0.45,T AH R M AH N IH S
terra,0.9,T EH R AH
terrace,3.39,T EH R AH S
terrain,2.25,T AH R EY N
terrestrial,0.22,T AH R EH S T R IY AH L
terrible,94.02,T EH R AH B AH L
terribly,23.63,T EH R AH B L IY
terrier,0.96,T EH R IY AH R
terrific,41.92,T AH R IH F IH K
terrify,0.49,T EH R AH F AY
terrifying,4.25,T EH R AH F AY IH NG
territorial,1.67,T EH R AH T OW R IY AH L
territory,14.67,T EH R AH T OW R IY
terror,9,T EH R AH R
terrorist,12.1,T EH R AH R IH S T
terrorize,0.51,T EH R AH R AY Z
terry,22.02,T EH R IY
terse,0.16,T AH R S
tertiary,0.24,T AH R SH IY EH R IY
test,84.08,T EH S T
testament,2.35,T EH S T AH M AH N T
testicle,1.14,T EH S T IH K AH L
testicular,0.61,T EH S T IH K Y AH L AH R
testify,14.2,T EH S T IH F AY
testimonial,0.63,T EH S T IH M OW N IY AH L
testimony,14.75,T EH S T IH M OW N IY
testing,15.12,T EH S T IH NG
tetanus,1.39,T EH T AH N IH S
tether,0.47,T EH DH AH R
text,5.24,T EH K S T
textbook,2.2,T EH K S T B UH K
textile,0.49,T EH K S T AY L
texture,1.65,T EH K S CH AH R
textured,0.18,T EH K S CH AH R D
than,738.8,DH AE N
thank,1115.24,TH AE NG K
thankful,5.37,TH AE NG K F AH L
thankfulness,0.06,TH AE NG K F AH L N EH S
thankless,0.41,TH AE NG K L IH S
thanks,623.31,TH AE NG K S
thanksgiving,18.61,TH AE NG K S G IH V IH NG
that,14111.31,DH AE T
thatch,0.75,TH AE CH
thaw,1.59,TH AO
the,29449.18,DH AH
theater,24.04,TH IY AH T AH R
theatergoer,0.04,TH IY IH T AH R G OW AH R
theatre,11.41,TH IY AH T AH R
theatrical,2.51,TH IY AE T R IH K AH L
theft,6.75,TH EH F T
theistic,0.04,TH IY IH S T IH K
thematic,0.08,TH IY M AE T IH K
theme,13.92,TH IY M
themselves,45.94,DH EH M S EH L V Z
then,1489.53,DH EH N
theocracy,0.04,TH IY AA K R IH S IY
theologian,0.27,TH IY AH L OW JH IH N
theological,0.39,TH IY AH L AA JH IH K AH L
theology,0.71,TH IY AA L AH JH IY
theorem,0.33,TH IH R AH M
theoretical,1.86,TH IH R EH T IH K AH L
theorist,0.18,TH IY AH R IH S T
theorize,0.2,TH IH R AY Z
theorizing,0.12,TH IY AH R AY Z IH NG
theory,28.61,TH IH R IY
therapeutic,1.41,TH EH R AH P Y UW T IH K
therapist,9.51,TH EH R AH P IH S T
therapy,18.51,TH EH R AH P IY
there,4348.12,DH AE R
therefore,20.75,DH AE R F OW R
thermal,2.2,TH AH R M AH L
thermocouple,0.02,TH AH R M AH K AH P AH L
thermodynamic,0.04,TH AH R M OW D AY N AE M IH K
thermodynamics,0.25,TH AH R M OW D AY N AE M IH K S
thermometer,2.2,TH AH R M AA M AH T AH R
thermonuclear,0.25,TH AH R M OW N UW K L IY AH R
thermoplastic,0.04,TH AH R M OW P L AE S T IH K
thermos,1.12,TH AH R M AH S
thermostat,1.14,TH AH R M OW S T AE T
thesaurus,0.39,TH IH S AO R IH S
these,904,DH IY Z
thesis,3.41,TH IY S IH S
thespian,0.33,TH EH S P IY AH N
they,4102.94,DH EY
thick,13.98,TH IH K
thicken,0.1,TH IH K IH N
thickener,0.04,TH IH K AH N AH R
thicker,2.08,TH IH K AH R
thickest,0.16,TH IH K IH S T
thicket,0.47,TH IH K IH T
thickness,0.51,TH IH K N IH S
thief,24.27,TH IY F
thieve,0.12,TH IY V
thigh,3.75,TH AY
thimble,0.27,TH IH M B AH L
thin,20.18,TH IH N
thing,1088.67,TH IH NG
think,2691.39,TH IH NG K
thinker,1.18,TH IH NG K AH R
thinking,281.43,TH IH NG K IH NG
thinner,2.25,TH IH N AH R
thinness,0.1,TH IH N IH S
thinning,0.37,TH IH N IH NG
third,74.53,TH AH R D
thirst,3.73,TH AH R S T
thirsty,12.29,TH AH R S T IY
thirteen,5.25,TH AH R T IY N
thirteenth,0.78,TH AH R T IY N TH
thirtieth,0.08,TH AH R T IY IH TH
thirty,17.18,TH AH R T IY
this,7978.73,DH IH S
thong,2.1,TH AO NG
thorn,5.1,TH AO R N
thorny,0.71,TH AO R N IY
thorough,4.71,TH AH R OW
thoroughfare,0.92,TH AH R OW F AE R
thoroughly,4.76,TH AH R OW L IY
thoroughness,0.29,TH AH R OW N AH S
those,753.02,DH OW Z
thou,22.43,DH AW
though,181.94,DH OW
thought,808.47,TH AO T
thoughtful,7.8,TH AO T F AH L
thoughtfulness,0.24,TH AO T F AH L N IH S
thoughtless,1.39,TH AO T L IH S
thousand,69.29,TH AW Z AH N D
thousandth,0.25,TH AW Z AH N D TH
thrash,0.53,TH R AE SH
thread,5.16,TH R EH D
threadbare,0.14,TH R EH D B AE R
threat,20.76,TH R EH T
threaten,8.53,TH R EH T AH N
threatening,11.75,TH R EH T N IH NG
three,542.24,TH R IY
threefold,0.1,TH R IY F OW L D
threesome,2.12,TH R IY S AH M
thresh,0.04,TH R AE SH
threshold,2.76,TH R EH SH HH OW L D
thrift,0.43,TH R IH F T
thrifty,0.31,TH R IH F T IY
thrill,8.41,TH R IH L
thriller,1.35,TH R IH L AH R
thrilling,3.33,TH R IH L IH NG
thrive,1.75,TH R AY V
throat,36.02,TH R OW T
throaty,0.18,TH R OW T IY
throb,0.24,TH R AA B
throbbing,1.18,TH R AA B IH NG
thrombosis,0.31,TH R AA M B OW S IH S
throne,8.65,TH R OW N
throng,0.31,TH R AO NG
throttle,2.33,TH R AA T AH L
through,549.53,TH R UW
throughout,10.75,TH R UW AW T
throughput,0.1,TH R UW P UH T
throw,128.82,TH R OW
thrower,0.47,TH R OW AH R
thrum,0.12,TH R AH M
thrush,0.37,TH R AH SH
thrust,3.86,TH R AH S T
thrusting,0.29,TH R AH S T IH NG
thruway,0.08,TH R UW W EY
thud,1.94,TH AH D
thug,3.49,TH AH G
thumb,11.82,TH AH M
thumbnail,0.14,TH AH M N EY L
thump,1.94,TH AH M P
thumping,1.43,TH AH M P IH NG
thunder,13.31,TH AH N D AH R
thunderclap,0.57,TH AH N D AH R K L AE P
thunderous,0.27,TH AH N D AH R AH S
thus,12.31,DH AH S
thwack,0.04,TH W AE K
thwart,0.33,TH W AO R T
thyroid,0.55,TH AY R OY D
tick,7.25,T IH K
ticket,45.57,T IH K IH T
tickle,4.8,T IH K AH L
tidal,1.04,T AY D AH L
tidbit,0.33,T IH D B IH T
tide,7.35,T AY D
tidewater,0.18,T AY D W AO T AH R
tidings,1.12,T AY D IH NG Z
tidy,3.71,T AY D IY
tie,44.43,T AY
tier,1.06,T IH R
tiered,0.02,T IY R D
tiger,18.53,T AY G AH R
tight,50.92,T AY T
tighten,2.86,T AY T AH N
tightening,0.76,T AY T N IH NG
tightest,0.29,T AY T AH S T
tightly,1.67,T AY T L IY
tigress,0.27,T AY G R IH S
tile,2.12,T AY L
till,166.73,T IH L
tiller,0.39,T IH L AH R
tilling,0.14,T IH L IH NG
tilt,2.22,T IH L T
timber,2.49,T IH M B AH R
timberland,0.12,T IH M B AH R L AE N D
timbre,0.14,T AE M B AH R
time,1958.63,T AY M
timeless,0.86,T AY M L AH S
timeliness,0.02,T AY M L IY N AH S
timely,1.08,T AY M L IY
timepiece,0.27,T AY M P IY S
timer,6.25,T AY M AH R
times,220.02,T AY M Z
timetable,1.61,T AY M T EY B AH L
timid,1.51,T IH M AH D
timidity,0.12,T AH M IH D IH T IY
timing,14.98,T AY M IH NG
tin,8.65,T IH N
tincture,0.08,T IH NG K CH AH R
tinder,0.06,T IH N D AH R
tine,0.18,T AY N
tingle,1.1,T IH NG G AH L
